,kaajak FNC,Boaster FNC,Alfajer FNC,crashies FNC,Chronicle FNC
Governor APK,1 5 -4,1 1 +0,0 1 -1,1 0 +1,0 1 -1
AvovA APK,1 2 -1,1 0 +1,0 1 -1,,
MOLSI APK,,1 0 +1,1 1 +0,0 1 -1,0 1 -1
batujnax APK,3 2 +1,2 1 +1,2 0 +2,1 0 +1,1 1 +0
florescent APK,4 2 +2,0 1 -1,0 2 -2,2 0 +2,0 3 -3
