,kaajak FNC,Boaster FNC,Alfajer FNC,crashies FNC,Chronicle FNC
Governor APK,4 12 -8,5 2 +3,3 9 -6,6 5 +1,4 6 -2
AvovA APK,6 11 -5,8 3 +5,6 9 -3,2 3 -1,3 10 -7
MOLSI APK,3 5 -2,5 6 -1,4 5 -1,5 8 -3,8 7 +1
batujnax APK,9 10 -1,8 6 +2,8 7 +1,10 6 +4,7 6 +1
florescent APK,8 11 -3,3 5 -2,10 9 +1,6 5 +1,6 5 +1
