,kaajak FNC,Boaster FNC,Alfajer FNC,crashies FNC,Chronicle FNC
Governor APK,1 6 -5,2 2 +0,2 2 +0,2 2 +0,2 1 +1
AvovA APK,2 4 -2,1 2 -1,3 3 +0,1 2 -1,2 3 -1
MOLSI APK,1 2 -1,1 1 +0,1 1 +0,1 6 -5,3 3 +0
batujnax APK,3 4 -1,4 2 +2,3 3 +0,4 4 +0,1 1 +0
florescent APK,4 6 -2,0 1 -1,1 5 -4,2 2 +0,1 1 +0
