Map,Round Number,Score,Winning Team,Winning Side,Win Method
2Ascent,1,"""0-1""",100T,Attackers,Elimination
2Ascent,2,"""0-2""",100T,Attackers,Elimination
2Ascent,3,"""0-3""",100T,Attackers,Elimination
2Ascent,4,"""1-3""",SEN,Defenders,Time Expired
2Ascent,5,"""1-4""",100T,Attackers,Elimination
2Ascent,6,"""1-5""",100T,Attackers,Elimination
2Ascent,7,"""1-6""",100T,Attackers,Spike Detonation
2Ascent,8,"""1-7""",100T,Attackers,Elimination
2Ascent,9,"""1-8""",100T,Attackers,Elimination
2Ascent,10,"""2-8""",SEN,Defenders,Elimination
2Ascent,11,"""3-8""",SEN,Defenders,Elimination
2Ascent,12,"""4-8""",SEN,Defenders,Elimination
2Ascent,13,"""4-9""",SEN,Defenders,Elimination
2Ascent,14,"""4-10""",SEN,Defenders,Elimination
2Ascent,15,"""4-11""",SEN,Defenders,Defuse
2Ascent,16,"""4-12""",SEN,Defenders,Defuse
2Ascent,17,"""5-12""",100T,Attackers,Elimination
2Ascent,18,"""6-12""",100T,Attackers,Spike Detonation
2Ascent,19,"""7-12""",100T,Attackers,Elimination
2Ascent,20,"""8-12""",100T,Attackers,Spike Detonation
2Ascent,21,"""9-12""",100T,Attackers,Elimination
2Ascent,22,"""10-12""",100T,Attackers,Spike Detonation
2Ascent,23,"""10-13""",SEN,Defenders,Defuse
2Ascent,24,"""""",,,
