,SUYGETSU KC,marteen KC,saadhak KC,Elite KC,Avez KC
ANGE1 NAVI,,,1 0 +1,,1 0 +1
Ruxic NAVI,3 1 +2,,0 2 -2,,
koalanoob NAVI,,1 3 -2,2 0 +2,0 1 -1,1 0 +1
hiro NAVI,,1 0 +1,,,2 0 +2
Shao NAVI,1 0 +1,0 1 -1,0 1 -1,1 0 +1,1 0 +1
