,SUYGETSU KC,marteen KC,saadhak KC,Elite KC,Avez KC
ANGE1 NAVI,1 0 +1,1 0 +1,2 1 +1,0 1 -1,1 0 +1
Ruxic NAVI,4 1 +3,3 3 +0,1 4 -3,0 1 -1,2 0 +2
koalanoob NAVI,1 2 -1,3 4 -1,2 1 +1,1 3 -2,2 1 +1
hiro NAVI,0 2 -2,2 0 +2,,,3 4 -1
Shao NAVI,2 1 +1,2 3 -1,2 3 -1,2 0 +2,2 0 +2
