,SUYGETSU KC,marteen KC,saadhak KC,Elite KC,Avez KC
ANGE1 NAVI,3 2 +1,2 5 -3,2 3 -1,0 4 -4,2 3 -1
Ruxic NAVI,4 3 +1,2 2 +0,5 3 +2,3 4 -1,3 3 +0
koalanoob NAVI,2 2 +0,4 6 -2,8 1 +7,3 4 -1,3 1 +2
hiro NAVI,2 4 -2,5 2 +3,4 1 +3,7 3 +4,5 4 +1
Shao NAVI,3 4 -1,4 3 +1,1 3 -2,2 2 +0,3 4 -1
