,SUYGETSU KC,marteen KC,saadhak KC,Elite KC,Avez KC
ANGE1 NAVI,1 0 +1,1 0 +1,0 1 -1,0 1 -1,
Ruxic NAVI,1 0 +1,1 1 +0,1 2 -1,0 1 -1,2 0 +2
koalanoob NAVI,1 1 +0,,,0 1 -1,
hiro NAVI,0 2 -2,1 0 +1,,,
Shao NAVI,0 1 -1,0 1 -1,1 2 -1,1 0 +1,1 0 +1
