,SUYGETSU KC,marteen KC,saadhak KC,Elite KC,Avez KC
ANGE1 NAVI,11 6 +5,9 12 -3,7 9 -2,5 14 -9,4 10 -6
Ruxic NAVI,7 11 -4,13 11 +2,13 12 +1,13 11 +2,14 9 +5
koalanoob NAVI,8 11 -3,8 18 -10,13 4 +9,7 11 -4,16 7 +9
hiro NAVI,12 11 +1,14 9 +5,12 5 +7,13 9 +4,10 13 -3
Shao NAVI,13 10 +3,12 11 +1,9 11 -2,13 7 +6,6 10 -4
