,SUYGETSU KC,Avez KC,marteen KC,saadhak KC,Elite KC
Shao NAVI,,2 0 +2,0 1 -1,,
alexiiik NAVI,3 1 +2,1 1 +0,1 2 -1,2 0 +2,2 1 +1
Ruxic NAVI,0 1 -1,2 0 +2,3 2 +1,2 2 +0,
ANGE1 NAVI,,0 3 -3,3 1 +2,,
hiro NAVI,,1 2 -1,1 1 +0,2 0 +2,0 4 -4
