,SUYGETSU KC,Avez KC,marteen KC,saadhak KC,Elite KC
Shao NAVI,4 0 +4,3 3 +0,1 3 -2,3 2 +1,3 1 +2
alexiiik NAVI,2 6 -4,4 3 +1,2 4 -2,7 1 +6,5 1 +4
Ruxic NAVI,5 3 +2,4 1 +3,3 5 -2,4 3 +1,3 1 +2
ANGE1 NAVI,1 3 -2,2 3 -1,5 2 +3,2 1 +1,0 6 -6
hiro NAVI,4 2 +2,5 5 +0,5 2 +3,2 2 +0,3 6 -3
