,SUYGETSU KC,Avez KC,marteen KC,saadhak KC,Elite KC
Shao NAVI,,1 0 +1,,,
alexiiik NAVI,1 1 +0,1 1 +0,,1 0 +1,1 0 +1
Ruxic NAVI,,1 0 +1,1 1 +0,0 1 -1,
ANGE1 NAVI,,0 1 -1,3 1 +2,,
hiro NAVI,,1 2 -1,1 0 +1,,0 1 -1
