,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
ANGE1 NAVI,,3 Round 4 marteen Elite Round 5 SUYGETSU marteen Round 22 saadhak Avez,,,,,,,,,30,4,1
Shao NAVI,,4 Round 4 saadhak SUYGETSU Round 7 SUYGETSU Avez Round 9 Elite Avez Round 11 Avez Elite,,,,1 Round 3 Avez,2 Round 4 SUYGETSU saadhak Round 9 Avez Elite,,,,32,4,1
Ruxic NAVI,,4 Round 3 marteen Elite Round 5 saadhak Elite Round 6 Avez SUYGETSU Round 17 marteen Avez,3 Round 7 marteen saadhak Elite Round 13 Elite saadhak SUYGETSU Round 18 SUYGETSU saadhak Elite,1 Round 16 marteen saadhak Avez SUYGETSU,,,,,,,68,2,0
alexiiik NAVI,,5 Round 1 saadhak SUYGETSU Round 17 SUYGETSU Elite Round 22 marteen Elite Round 24 saadhak marteen Round 26 saadhak Elite,2 Round 2 Avez Elite SUYGETSU Round 10 saadhak Avez Elite,1 Round 14 SUYGETSU Avez Elite saadhak,,,,,,,58,1,0
hiro NAVI,,5 Round 6 Elite saadhak Round 9 marteen saadhak Round 11 saadhak marteen Round 15 SUYGETSU marteen Round 24 Avez SUYGETSU,1 Round 25 Avez SUYGETSU Elite,,,,,,,,69,1,0
saadhak KC,,2 Round 2 Ruxic alexiiik Round 4 Ruxic ANGE1,1 Round 23 alexiiik ANGE1 hiro,1 Round 15 Ruxic ANGE1 Shao hiro saadhak,,3 Round 2 alexiiik Round 15 hiro Round 23 hiro,,,,,34,4,1
SUYGETSU KC,,1 Round 12 ANGE1 Shao,,,,,,,,,37,2,0
Avez KC,,5 Round 1 ANGE1 alexiiik Round 3 ANGE1 Ruxic Round 19 hiro ANGE1 Round 21 alexiiik ANGE1 Round 22 hiro Ruxic,1 Round 18 hiro ANGE1 Ruxic,,,1 Round 18 Ruxic,1 Round 1 ANGE1 alexiiik,,,,58,2,3
marteen KC,,2 Round 6 alexiiik Ruxic Round 19 alexiiik Shao,1 Round 24 Ruxic ANGE1 hiro,1 Round 20 alexiiik ANGE1 Shao hiro,,1 Round 10 Ruxic,,,,,54,0,1
Elite KC,,4 Round 3 alexiiik hiro Round 10 Shao alexiiik Round 12 alexiiik Ruxic Round 21 hiro Ruxic,1 Round 8 alexiiik ANGE1 Shao,,,,,1 Round 17 ANGE1 Ruxic alexiiik,,,49,1,0
