,SUYGETSU KC,Avez KC,marteen KC,saadhak KC,Elite KC
Shao NAVI,,,0 1 -1,,
alexiiik NAVI,,,1 0 +1,1 0 +1,3 0 +3
Ruxic NAVI,,,0 1 -1,,
ANGE1 NAVI,,,,,
hiro NAVI,,,,,
