,SUYGETSU KC,Avez KC,marteen KC,saadhak KC,Elite KC
Shao NAVI,2 5 -3,4 0 +4,2 8 -6,1 2 -1,3 2 +1
alexiiik NAVI,6 3 +3,4 3 +1,2 5 -3,5 3 +2,7 4 +3
Ruxic NAVI,6 3 +3,7 4 +3,7 5 +2,6 4 +2,5 5 +0
ANGE1 NAVI,3 1 +2,1 7 -6,5 3 +2,1 3 -2,3 2 +1
hiro NAVI,5 3 +2,3 6 -3,5 3 +2,7 3 +4,4 5 -1
