,SUYGETSU KC,Avez KC,marteen KC,saadhak KC,Elite KC
Shao NAVI,6 5 +1,7 3 +4,3 11 -8,4 4 +0,6 3 +3
alexiiik NAVI,8 9 -1,8 6 +2,4 9 -5,12 4 +8,12 5 +7
Ruxic NAVI,11 6 +5,11 5 +6,10 10 +0,10 7 +3,8 6 +2
ANGE1 NAVI,4 4 +0,3 10 -7,10 5 +5,3 4 -1,3 8 -5
hiro NAVI,9 5 +4,8 11 -3,10 5 +5,9 5 +4,7 11 -4
