,SUYGETSU KC,Avez KC,marteen KC,saadhak KC,Elite KC
Shao NAVI,,1 0 +1,0 1 -1,,
alexiiik NAVI,2 0 +2,,1 2 -1,1 0 +1,1 1 +0
Ruxic NAVI,0 1 -1,1 0 +1,2 1 +1,2 1 +1,
ANGE1 NAVI,,0 2 -2,,,
hiro NAVI,,,0 1 -1,2 0 +2,0 3 -3
