,s0m NRG,brawk NRG,Ethan NRG,FiNESSE NRG,mada NRG
eeiu 100T,2 1 +1,1 2 -1,2 1 +1,1 2 -1,1 7 -6
Cryocells 100T,6 1 +5,1 2 -1,2 1 +1,3 2 +1,3 2 +1
zander 100T,3 2 +1,10 0 +10,4 1 +3,6 2 +4,5 2 +3
Boostio 100T,5 1 +4,2 3 -1,4 1 +3,2 3 -1,1 2 -1
Asuna 100T,2 2 +0,3 5 -2,2 6 -4,3 1 +2,5 1 +4
