,s0m NRG,brawk NRG,Ethan NRG,FiNESSE NRG,mada NRG
eeiu 100T,,,,,0 2 -2
Cryocells 100T,1 1 +0,0 1 -1,,3 1 +2,1 4 -3
zander 100T,0 1 -1,2 0 +2,,2 0 +2,3 0 +3
Boostio 100T,0 1 -1,0 1 -1,1 1 +0,,1 0 +1
Asuna 100T,2 1 +1,1 0 +1,0 2 -2,1 0 +1,6 2 +4
