,s0m NRG,brawk NRG,Ethan NRG,FiNESSE NRG,mada NRG
eeiu 100T,5 6 -1,5 5 +0,5 5 +0,5 3 +2,1 8 -7
Cryocells 100T,6 4 +2,2 5 -3,8 4 +4,7 4 +3,7 7 +0
zander 100T,11 4 +7,16 3 +13,6 3 +3,9 2 +7,12 8 +4
Boostio 100T,6 8 -2,6 7 -1,5 5 +0,3 6 -3,4 3 +1
Asuna 100T,7 5 +2,6 9 -3,7 10 -3,7 4 +3,9 6 +3
