,s0m NRG,brawk NRG,Ethan NRG,FiNESSE NRG,mada NRG
eeiu 100T,,,,,
Cryocells 100T,,0 1 -1,,3 1 +2,0 4 -4
zander 100T,,,,,2 0 +2
Boostio 100T,0 1 -1,0 1 -1,1 1 +0,,1 0 +1
Asuna 100T,1 1 +0,1 0 +1,,1 0 +1,2 2 +0
