,s0m NRG,brawk NRG,Ethan NRG,FiNESSE NRG,mada NRG
eeiu 100T,,,,,0 2 -2
Cryocells 100T,1 1 +0,,,,1 0 +1
zander 100T,0 1 -1,2 0 +2,,2 0 +2,1 0 +1
Boostio 100T,,,,,
Asuna 100T,1 0 +1,,0 2 -2,,4 0 +4
