,s0m NRG,brawk NRG,Ethan NRG,FiNESSE NRG,mada NRG
eeiu 100T,3 5 -2,4 3 +1,3 4 -1,4 1 +3,0 1 -1
Cryocells 100T,0 3 -3,1 3 -2,6 3 +3,4 2 +2,4 5 -1
zander 100T,8 2 +6,6 3 +3,2 2 +0,3 0 +3,7 6 +1
Boostio 100T,1 7 -6,4 4 +0,1 4 -3,1 3 -2,3 1 +2
Asuna 100T,5 3 +2,3 4 -1,5 4 +1,4 3 +1,4 5 -1
