,MiniBoo TH,Wo0t TH,RieNs TH,Boo TH,benjyfishy TH
Meteor GEN,14 6 +8,12 14 -2,18 10 +8,12 8 +4,20 10 +10
t3xture GEN,10 14 -4,11 8 +3,9 9 +0,9 11 -2,10 14 -4
Karon GEN,11 8 +3,12 11 +1,8 8 +0,11 10 +1,9 10 -1
Lakia GEN,6 4 +2,4 10 -6,5 12 -7,9 17 -8,6 10 -4
Munchkin GEN,10 13 -3,8 7 +1,5 8 -3,5 9 -4,5 12 -7
