,MiniBoo TH,Wo0t TH,RieNs TH,Boo TH,benjyfishy TH
Meteor GEN,2 0 +2,,,0 1 -1,1 0 +1
t3xture GEN,1 0 +1,4 0 +4,1 1 +0,1 0 +1,1 0 +1
Karon GEN,1 1 +0,,1 0 +1,0 1 -1,
Lakia GEN,,,,0 1 -1,0 1 -1
Munchkin GEN,1 1 +0,0 1 -1,1 1 +0,,
