,MiniBoo TH,Wo0t TH,RieNs TH,Boo TH,benjyfishy TH
Meteor GEN,6 1 +5,5 5 +0,5 4 +1,2 2 +0,5 2 +3
t3xture GEN,1 5 -4,0 2 -2,5 4 +1,1 2 -1,1 5 -4
Karon GEN,5 2 +3,7 2 +5,3 3 +0,5 2 +3,3 5 -2
Lakia GEN,0 3 -3,1 2 -1,0 5 -5,1 5 -4,2 3 -1
Munchkin GEN,3 2 +1,1 2 -1,1 3 -2,3 2 +1,4 5 -1
