,MiniBoo TH,Wo0t TH,RieNs TH,Boo TH,benjyfishy TH
Meteor GEN,,1 0 +1,,1 1 +0,1 0 +1
t3xture GEN,0 2 -2,,1 1 +0,0 1 -1,0 1 -1
Karon GEN,1 1 +0,1 1 +0,,1 0 +1,
Lakia GEN,0 1 -1,0 1 -1,,1 1 +0,
Munchkin GEN,2 1 +1,,,,1 0 +1
