,MiniBoo TH,Wo0t TH,RieNs TH,Boo TH,benjyfishy TH
Meteor GEN,2 2 +0,,1 1 +0,1 1 +0,1 0 +1
t3xture GEN,2 1 +1,,,1 0 +1,1 1 +0
Karon GEN,2 0 +2,,,,
Lakia GEN,,,,0 1 -1,1 1 +0
Munchkin GEN,,0 1 -1,1 0 +1,1 0 +1,0 1 -1
