,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Lakia GEN,,3 Round 1 benjyfishy RieNs Round 6 MiniBoo Wo0t Round 14 benjyfishy RieNs,1 Round 20 MiniBoo RieNs Boo,,,,,,,,29,6,0
Munchkin GEN,,2 Round 1 Wo0t MiniBoo Round 16 Boo benjyfishy,,,,1 Round 16 benjyfishy,,,,,43,1,0
t3xture GEN,,4 Round 5 MiniBoo Wo0t Round 9 MiniBoo benjyfishy Round 14 Wo0t Boo Round 22 benjyfishy Wo0t,,2 Round 2 benjyfishy MiniBoo RieNs Wo0t Round 4 RieNs Wo0t MiniBoo benjyfishy,,,,,,,65,1,0
Meteor GEN,,5 Round 6 RieNs benjyfishy Round 10 benjyfishy RieNs Round 12 Boo benjyfishy Round 16 MiniBoo RieNs Round 17 RieNs benjyfishy,2 Round 9 RieNs Wo0t Boo Round 24 MiniBoo RieNs Boo,2 Round 11 Wo0t benjyfishy Boo RieNs Round 13 MiniBoo benjyfishy RieNs Wo0t,,,,,,,71,2,1
Karon GEN,,3 Round 18 Wo0t benjyfishy Round 20 benjyfishy Wo0t Round 22 MiniBoo Boo,,,,2 Round 1 Boo Round 22 Boo,,,,,59,1,1
Boo TH,,6 Round 1 Meteor Lakia Round 5 Karon t3xture Round 7 Meteor t3xture Round 8 Munchkin t3xture Round 21 Munchkin Lakia Round 22 Meteor t3xture,,1 Round 17 Karon Lakia t3xture Munchkin,,1 Round 17 Munchkin,,,,,66,0,0
RieNs TH,,2 Round 5 Meteor Munchkin Round 11 t3xture Munchkin,,,,,,,,,39,0,0
MiniBoo TH,,4 Round 4 Meteor Munchkin Round 12 Karon Munchkin Round 15 Munchkin Karon Round 21 t3xture Karon,1 Round 10 t3xture Meteor Munchkin,,,,,,,,49,0,0
Wo0t TH,,2 Round 3 Munchkin Karon Round 15 Meteor Lakia,2 Round 19 Meteor Karon Lakia Round 23 Munchkin Lakia Meteor,,,,,,,,63,8,4
benjyfishy TH,,3 Round 3 Meteor t3xture Round 8 Lakia Karon Round 22 Munchkin Lakia,2 Round 16 Lakia t3xture Karon Round 18 Meteor t3xture Munchkin,,,,,,,,49,0,0
