,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Lakia GEN,,,,,,,,,,,15,3,0
Munchkin GEN,,2 Round 7 Boo benjyfishy Round 15 MiniBoo Boo,,,,,,,,,52,1,0
t3xture GEN,,2 Round 7 RieNs MiniBoo Round 16 RieNs Boo,,,,,,,,,43,1,1
Meteor GEN,,5 Round 3 benjyfishy MiniBoo Round 12 benjyfishy Wo0t Round 14 RieNs MiniBoo Round 21 Wo0t MiniBoo Round 22 MiniBoo RieNs,,1 Round 8 RieNs Boo MiniBoo benjyfishy,,,,,,,65,1,0
Karon GEN,,3 Round 9 MiniBoo Wo0t Round 11 MiniBoo RieNs Round 13 Boo MiniBoo,1 Round 14 benjyfishy Wo0t Boo,2 Round 4 Wo0t RieNs benjyfishy Boo Round 19 MiniBoo Wo0t RieNs benjyfishy,,,,,,,59,1,0
Boo TH,,3 Round 4 Lakia Munchkin Round 10 Karon Meteor Round 21 Karon Lakia,,,,,,,,,52,2,0
RieNs TH,,3 Round 3 Meteor Lakia Round 9 Munchkin Lakia Round 15 Meteor Karon,1 Round 23 t3xture Karon Lakia,1 Round 1 Lakia Meteor t3xture Karon,,,1 Round 15 Karon Meteor,,,,71,5,1
MiniBoo TH,,2 Round 8 Karon Lakia Round 18 Karon t3xture,1 Round 17 Lakia t3xture Munchkin,,,,,,,,36,0,0
Wo0t TH,,2 Round 2 Munchkin Meteor Round 8 Meteor Munchkin,,,,1 Round 9 Karon,1 Round 8 Munchkin Meteor,,,,40,2,0
benjyfishy TH,,2 Round 2 t3xture Karon Round 10 t3xture Munchkin,1 Round 11 Karon Lakia Munchkin,1 Round 22 Lakia Munchkin Karon Meteor,,,,,,,60,0,0
