,MiniBoo TH,Wo0t TH,RieNs TH,Boo TH,benjyfishy TH
Meteor GEN,3 3 +0,3 6 -3,9 2 +7,6 3 +3,7 3 +4
t3xture GEN,7 2 +5,5 1 +4,2 1 +1,2 8 -6,5 7 -2
Karon GEN,5 4 +1,3 3 +0,0 2 -2,4 2 +2,4 2 +2
Lakia GEN,2 1 +1,1 5 -4,3 2 +1,2 5 -3,2 4 -2
Munchkin GEN,2 6 -4,4 2 +2,2 3 -1,1 4 -3,1 3 -2
