,MiniBoo TH,Wo0t TH,RieNs TH,Boo TH,benjyfishy TH
Meteor GEN,4 2 +2,1 0 +1,1 1 +0,2 3 -1,3 0 +3
t3xture GEN,3 3 +0,4 0 +4,2 2 +0,2 1 +1,2 2 +0
Karon GEN,4 2 +2,1 1 +0,1 0 +1,1 1 +0,
Lakia GEN,0 1 -1,0 1 -1,,1 3 -2,1 2 -1
Munchkin GEN,3 2 +1,0 2 -2,2 1 +1,1 0 +1,1 1 +0
