,JonahP G2,leaf G2,jawgemo G2,trent G2,valyn G2
t3xture GEN,,,0 4 -4,1 0 +1,
Ash GEN,,,,,
Karon GEN,,,0 1 -1,,
Munchkin GEN,,,0 1 -1,,
Foxy9 GEN,,,,,
