,JonahP G2,leaf G2,jawgemo G2,trent G2,valyn G2
t3xture GEN,5 1 +4,1 0 +1,3 5 -2,1 4 -3,1 2 -1
Ash GEN,1 0 +1,,1 1 +0,,1 2 -1
Karon GEN,2 0 +2,0 2 -2,1 2 -1,2 1 +1,0 1 -1
Munchkin GEN,0 1 -1,1 0 +1,4 6 -2,2 0 +2,3 2 +1
Foxy9 GEN,2 1 +1,1 1 +0,2 0 +2,,2 0 +2
