,JonahP G2,leaf G2,jawgemo G2,trent G2,valyn G2
t3xture GEN,6 2 +4,3 3 +0,2 2 +0,7 5 +2,3 5 -2
Ash GEN,4 2 +2,4 4 +0,4 2 +2,3 3 +0,3 4 -1
Karon GEN,2 0 +2,1 7 -6,2 4 -2,0 5 -5,4 2 +2
Munchkin GEN,3 2 +1,3 5 -2,6 5 +1,3 3 +0,2 3 -1
Foxy9 GEN,1 3 -2,5 5 +0,1 3 -2,3 3 +0,3 3 +0
