,JonahP G2,leaf G2,jawgemo G2,trent G2,valyn G2
t3xture GEN,0 1 -1,,2 3 -1,1 1 +0,1 0 +1
Ash GEN,,,0 1 -1,,
Karon GEN,,,0 1 -1,1 0 +1,0 1 -1
Munchkin GEN,,,1 2 -1,,1 0 +1
Foxy9 GEN,2 0 +2,0 1 -1,,,
