,JonahP G2,leaf G2,jawgemo G2,trent G2,valyn G2
t3xture GEN,3 0 +3,1 0 +1,1 2 -1,0 2 -2,
Ash GEN,,,,,
Karon GEN,1 0 +1,0 1 -1,1 1 +0,1 0 +1,
Munchkin GEN,0 1 -1,1 0 +1,1 2 -1,2 0 +2,
Foxy9 GEN,,,2 0 +2,,1 0 +1
