,JonahP G2,leaf G2,jawgemo G2,trent G2,valyn G2
t3xture GEN,3 0 +3,,4 4 +0,1 0 +1,2 0 +2
Ash GEN,,,0 1 -1,,
Karon GEN,,,0 1 -1,,
Munchkin GEN,,,0 2 -2,,
Foxy9 GEN,,,,,
