,JonahP G2,leaf G2,jawgemo G2,trent G2,valyn G2
t3xture GEN,13 5 +8,7 6 +1,13 13 +0,11 15 -4,11 7 +4
Ash GEN,13 10 +3,12 12 +0,6 5 +1,9 8 +1,5 10 -5
Karon GEN,7 6 +1,6 12 -6,7 10 -3,6 9 -3,10 11 -1
Munchkin GEN,6 11 -5,9 11 -2,14 15 -1,11 9 +2,11 5 +6
Foxy9 GEN,5 11 -6,8 14 -6,7 6 +1,8 8 +0,6 11 -5
