,JonahP G2,leaf G2,jawgemo G2,trent G2,valyn G2
t3xture GEN,2 2 +0,1 2 -1,3 8 -5,2 3 -1,4 0 +4
Ash GEN,2 3 -1,4 5 -1,1 2 -1,3 2 +1,1 5 -4
Karon GEN,0 4 -4,3 1 +2,3 3 +0,3 2 +1,2 7 -5
Munchkin GEN,3 2 +1,2 3 -1,3 6 -3,2 4 -2,4 1 +3
Foxy9 GEN,4 3 +1,1 4 -3,2 0 +2,2 3 -1,0 7 -7
