,JonahP G2,leaf G2,jawgemo G2,trent G2,valyn G2
t3xture GEN,5 1 +4,3 1 +2,8 3 +5,2 7 -5,4 2 +2
Ash GEN,7 5 +2,4 3 +1,1 1 +0,3 3 +0,1 1 +0
Karon GEN,5 2 +3,2 4 -2,2 3 -1,3 2 +1,4 2 +2
Munchkin GEN,0 7 -7,4 3 +1,5 4 +1,6 2 +4,5 1 +4
Foxy9 GEN,0 5 -5,2 5 -3,4 3 +1,3 2 +1,3 1 +2
