,grubinho GX,westside GX,ara GX,Flickless GX,Cloud GX
yetujey FUT,2 1 +1,3 3 +0,5 1 +4,3 2 +1,2 3 -1
qRaxs FUT,5 1 +4,3 6 -3,1 1 +0,2 4 -2,2 1 +1
cNed FUT,3 0 +3,2 2 +0,2 3 -1,4 4 +0,5 0 +5
MrFaliN FUT,1 2 -1,2 1 +1,5 1 +4,1 6 -5,1 2 -1
xeus FUT,5 4 +1,5 1 +4,3 2 +1,1 2 -1,6 2 +4
