,grubinho GX,westside GX,ara GX,Flickless GX,Cloud GX
yetujey FUT,3 4 -1,0 2 -2,2 3 -1,2 3 -1,3 2 +1
qRaxs FUT,3 4 -1,3 2 +1,6 1 +5,2 1 +1,7 2 +5
cNed FUT,4 1 +3,6 3 +3,3 3 +0,5 4 +1,1 1 +0
MrFaliN FUT,3 2 +1,3 2 +1,2 1 +1,5 2 +3,3 1 +2
xeus FUT,2 5 -3,3 3 +0,3 0 +3,2 1 +1,0 6 -6
