,grubinho GX,westside GX,ara GX,Flickless GX,Cloud GX
yetujey FUT,10 9 +1,6 9 -3,9 8 +1,12 6 +6,10 6 +4
qRaxs FUT,10 12 -2,9 13 -4,13 2 +11,7 5 +2,12 9 +3
cNed FUT,7 6 +1,14 10 +4,6 9 -3,10 11 -1,11 4 +7
MrFaliN FUT,8 10 -2,6 7 -1,11 4 +7,9 10 -1,4 7 -3
xeus FUT,11 13 -2,12 5 +7,10 6 +4,6 6 +0,10 15 -5
