,grubinho GX,westside GX,ara GX,Flickless GX,Cloud GX
yetujey FUT,1 0 +1,1 0 +1,0 2 -2,,1 0 +1
qRaxs FUT,,,,,
cNed FUT,,2 0 +2,,2 0 +2,1 0 +1
MrFaliN FUT,,,,,
xeus FUT,,,0 2 -2,,
