,grubinho GX,westside GX,ara GX,Flickless GX,Cloud GX
yetujey FUT,5 4 +1,3 4 -1,2 4 -2,7 1 +6,5 1 +4
qRaxs FUT,2 7 -5,3 5 -2,6 0 +6,3 0 +3,3 6 -3
cNed FUT,0 5 -5,6 5 +1,1 3 -2,1 3 -2,5 3 +2
MrFaliN FUT,4 6 -2,1 4 -3,4 2 +2,3 2 +1,0 4 -4
xeus FUT,4 4 +0,4 1 +3,4 4 +0,3 3 +0,4 7 -3
