,grubinho GX,westside GX,ara GX,Flickless GX,Cloud GX
yetujey FUT,3 3 +0,0 1 -1,2 3 -1,3 0 +3,
qRaxs FUT,2 2 +0,1 1 +0,3 0 +3,,1 1 +0
cNed FUT,,2 2 +0,3 1 +2,2 0 +2,1 0 +1
MrFaliN FUT,0 2 -2,0 1 -1,1 0 +1,0 2 -2,
xeus FUT,2 1 +1,2 2 +0,2 2 +0,2 1 +1,1 3 -2
