,sheydos MKOI,soulcas MKOI,flyuh MKOI,Filu MKOI,grubinho MKOI
yetujey FUT,3 2 +1,5 3 +2,7 2 +5,2 3 -1,5 3 +2
xeus FUT,6 5 +1,5 2 +3,6 3 +3,8 4 +4,8 4 +4
qRaxs FUT,3 4 -1,2 2 +0,0 4 -4,3 5 -2,4 2 +2
MrFaliN FUT,4 5 -1,5 1 +4,5 3 +2,4 2 +2,3 3 +0
AtaKaptan FUT,3 5 -2,4 2 +2,4 3 +1,2 4 -2,1 3 -2
