,sheydos MKOI,soulcas MKOI,flyuh MKOI,Filu MKOI,grubinho MKOI
yetujey FUT,3 1 +2,1 3 -2,2 0 +2,3 4 -1,4 2 +2
xeus FUT,5 2 +3,6 0 +6,6 0 +6,3 3 +0,4 2 +2
qRaxs FUT,0 4 -4,1 2 -1,1 4 -3,0 2 -2,2 2 +0
MrFaliN FUT,3 2 +1,4 1 +3,4 3 +1,4 2 +2,3 1 +2
AtaKaptan FUT,4 0 +4,0 2 -2,2 3 -1,3 1 +2,1 2 -1
