,sheydos MKOI,soulcas MKOI,flyuh MKOI,Filu MKOI,grubinho MKOI
yetujey FUT,6 3 +3,6 6 +0,9 2 +7,5 7 -2,9 5 +4
xeus FUT,11 7 +4,11 2 +9,12 3 +9,11 7 +4,12 6 +6
qRaxs FUT,3 8 -5,3 4 -1,1 8 -7,3 7 -4,6 4 +2
MrFaliN FUT,7 7 +0,9 2 +7,9 6 +3,8 4 +4,6 4 +2
AtaKaptan FUT,7 5 +2,4 4 +0,6 6 +0,5 5 +0,2 5 -3
