,sheydos MKOI,soulcas MKOI,flyuh MKOI,Filu MKOI,grubinho MKOI
yetujey FUT,,,2 0 +2,1 1 +0,1 0 +1
xeus FUT,2 2 +0,,2 2 +0,4 3 +1,5 1 +4
qRaxs FUT,,,,0 1 -1,2 2 +0
MrFaliN FUT,1 0 +1,,2 0 +2,4 0 +4,2 0 +2
AtaKaptan FUT,1 0 +1,,,,1 1 +0
