,sheydos MKOI,soulcas MKOI,flyuh MKOI,Filu MKOI,grubinho MKOI
yetujey FUT,,,,1 1 +0,1 0 +1
xeus FUT,1 0 +1,,1 0 +1,0 1 -1,1 0 +1
qRaxs FUT,,,,,1 1 +0
MrFaliN FUT,1 0 +1,,1 0 +1,3 0 +3,2 0 +2
AtaKaptan FUT,1 0 +1,,,,
