,MiniBoo TH,Boo TH,RieNs TH,benjyfishy TH,Wo0t TH
kaajak FNC,6 3 +3,4 1 +3,3 3 +0,2 1 +1,2 3 -1
Boaster FNC,3 3 +0,3 0 +3,6 2 +4,3 5 -2,3 4 -1
crashies FNC,2 6 -4,2 1 +1,2 0 +2,5 5 +0,4 2 +2
Chronicle FNC,3 2 +1,3 5 -2,5 3 +2,3 3 +0,2 3 -1
Alfajer FNC,1 5 -4,4 2 +2,4 1 +3,2 4 -2,6 3 +3
