,MiniBoo TH,Boo TH,RieNs TH,benjyfishy TH,Wo0t TH
kaajak FNC,8 0 +8,8 0 +8,3 3 +0,3 0 +3,6 2 +4
Boaster FNC,1 1 +0,1 2 -1,1 1 +0,3 2 +1,1 3 -2
crashies FNC,1 3 -2,3 1 +2,1 1 +0,0 1 -1,2 1 +1
Chronicle FNC,4 1 +3,1 0 +1,4 3 +1,4 1 +3,5 2 +3
Alfajer FNC,2 3 -1,2 0 +2,3 3 +0,4 3 +1,0 3 -3
