,MiniBoo TH,Boo TH,RieNs TH,benjyfishy TH,Wo0t TH
kaajak FNC,2 0 +2,,0 1 -1,,2 1 +1
Boaster FNC,,0 1 -1,,,1 1 +0
crashies FNC,,,,,0 1 -1
Chronicle FNC,,,1 1 +0,,
Alfajer FNC,1 1 +0,,2 0 +2,1 0 +1,
