,MiniBoo TH,Boo TH,RieNs TH,benjyfishy TH,Wo0t TH
kaajak FNC,5 3 +2,4 3 +1,6 6 +0,5 2 +3,8 3 +5
Boaster FNC,1 5 -4,2 5 -3,6 1 +5,3 2 +1,3 5 -2
crashies FNC,5 3 +2,3 3 +0,2 1 +1,0 4 -4,4 6 -2
Chronicle FNC,5 3 +2,2 1 +1,3 3 +0,2 5 -3,1 4 -3
Alfajer FNC,2 1 +1,5 2 +3,3 7 -4,5 5 +0,2 3 -1
