,MiniBoo TH,Boo TH,RieNs TH,benjyfishy TH,Wo0t TH
kaajak FNC,6 2 +4,1 1 +0,0 1 -1,1 1 +0,6 2 +4
Boaster FNC,1 3 -2,1 1 +0,0 1 -1,1 0 +1,2 4 -2
crashies FNC,1 2 -1,0 1 -1,,,2 1 +1
Chronicle FNC,1 1 +0,,5 1 +4,1 0 +1,
Alfajer FNC,3 1 +2,,3 0 +3,4 1 +3,1 1 +0
