,MiniBoo TH,Boo TH,RieNs TH,benjyfishy TH,Wo0t TH
kaajak FNC,1 0 +1,1 0 +1,2 0 +2,1 0 +1,2 0 +2
Boaster FNC,,,,,0 1 -1
crashies FNC,,,,,0 1 -1
Chronicle FNC,,,,,0 1 -1
Alfajer FNC,,,,,
