,MiniBoo TH,Boo TH,RieNs TH,benjyfishy TH,Wo0t TH
kaajak FNC,19 6 +13,16 4 +12,12 12 +0,10 3 +7,16 8 +8
Boaster FNC,5 9 -4,6 7 -1,13 4 +9,9 9 +0,7 12 -5
crashies FNC,8 12 -4,8 5 +3,5 2 +3,5 10 -5,10 9 +1
Chronicle FNC,12 6 +6,6 6 +0,12 9 +3,9 9 +0,8 9 -1
Alfajer FNC,5 9 -4,11 4 +7,10 11 -1,11 12 -1,8 9 -1
