,MiniBoo TH,Boo TH,RieNs TH,benjyfishy TH,Wo0t TH
kaajak FNC,2 2 +0,1 1 +0,,0 1 -1,4 1 +3
Boaster FNC,0 2 -2,,,,0 2 -2
crashies FNC,1 1 +0,,,,1 0 +1
Chronicle FNC,1 1 +0,,1 0 +1,,
Alfajer FNC,1 0 +1,,,2 0 +2,0 1 -1
