,MiniBoo TH,Boo TH,RieNs TH,benjyfishy TH,Wo0t TH
kaajak FNC,2 0 +2,,,1 0 +1,
Boaster FNC,1 1 +0,1 0 +1,0 1 -1,1 0 +1,1 1 +0
crashies FNC,0 1 -1,0 1 -1,,,1 0 +1
Chronicle FNC,,,3 0 +3,1 0 +1,
Alfajer FNC,1 0 +1,,1 0 +1,1 1 +0,1 0 +1
