,MiniBoo TH,Boo TH,RieNs TH,benjyfishy TH,Wo0t TH
kaajak FNC,3 0 +3,2 0 +2,2 0 +2,2 0 +2,3 0 +3
Boaster FNC,,,,,0 1 -1
crashies FNC,,,,,0 1 -1
Chronicle FNC,,,,,0 1 -1
Alfajer FNC,,1 0 +1,,,
