,MAGNUM BBL,sociablEE BBL,PROFEK BBL,LewN BBL,Jamppi BBL
Chronicle FNC,3 3 +0,3 1 +2,0 4 -4,1 4 -3,2 4 -2
kaajak FNC,5 2 +3,3 4 -1,2 3 -1,4 3 +1,2 4 -2
Boaster FNC,1 4 -3,3 0 +3,1 5 -4,1 6 -5,2 1 +1
Alfajer FNC,2 3 -1,3 5 -2,3 1 +2,2 7 -5,2 2 +0
crashies FNC,1 4 -3,2 2 +0,3 4 -1,4 3 +1,4 1 +3
