,MAGNUM BBL,sociablEE BBL,PROFEK BBL,LewN BBL,Jamppi BBL
Chronicle FNC,4 3 +1,6 3 +3,5 1 +4,2 4 -2,5 2 +3
kaajak FNC,4 4 +0,3 4 -1,4 3 +1,4 4 +0,1 3 -2
Boaster FNC,4 4 +0,2 2 +0,4 3 +1,2 2 +0,2 3 -1
Alfajer FNC,1 6 -5,3 2 +1,1 2 -1,3 3 +0,4 4 +0
crashies FNC,0 4 -4,2 1 +1,0 3 -3,2 3 -1,2 4 -2
